ext	axis	value	type	site
12	four	0.000482201	phylogenetic	pantanal
13	four	0.000497844	phylogenetic	pantanal
14	four	0.000559599	phylogenetic	pantanal
15	four	0.000578815	phylogenetic	pantanal
16	four	0.00055156	phylogenetic	pantanal
17	four	0.00064725	phylogenetic	pantanal
1	five	0.00691697	interaction	pantanal
2	five	0.004119482	interaction	pantanal
3	five	0.003808265	interaction	pantanal
4	five	0.003719577	interaction	pantanal
5	five	0.003444187	interaction	pantanal
6	five	0.002896182	interaction	pantanal
7	five	0.002838024	interaction	pantanal
8	five	0.002578253	interaction	pantanal
9	five	0.002128297	interaction	pantanal
10	five	0.002054826	interaction	pantanal
11	five	0.00159817	interaction	pantanal
12	five	0.000995033	interaction	pantanal
13	five	0.000733601	interaction	pantanal
14	five	0.000673369	interaction	pantanal
15	five	0.00049536	interaction	pantanal
16	five	0.006001457	interaction	pantanal
17	five	0.041321438	interaction	pantanal
1	five	0.001172859	functional	pantanal
2	five	0.001026371	functional	pantanal
3	five	0.000972519	functional	pantanal
4	five	0.000686759	functional	pantanal
5	five	0.000530837	functional	pantanal
6	five	0.000516371	functional	pantanal
7	five	0.000424988	functional	pantanal
8	five	0.000316733	functional	pantanal
9	five	0.000300633	functional	pantanal
10	five	0.000345568	functional	pantanal
11	five	0.000298725	functional	pantanal
12	five	0.000180271	functional	pantanal
13	five	9.32E-05	functional	pantanal
14	five	9.47E-05	functional	pantanal
15	five	9.29E-05	functional	pantanal
16	five	3.31E-05	functional	pantanal
17	five	0.001165127	functional	pantanal
1	five	2.35E-05	phylogenetic	pantanal
2	five	2.37E-05	phylogenetic	pantanal
3	five	2.38E-05	phylogenetic	pantanal
4	five	2.14E-05	phylogenetic	pantanal
5	five	2.09E-05	phylogenetic	pantanal
6	five	2.27E-05	phylogenetic	pantanal
7	five	2.56E-05	phylogenetic	pantanal
8	five	2.52E-05	phylogenetic	pantanal
9	five	3.04E-05	phylogenetic	pantanal
10	five	2.82E-05	phylogenetic	pantanal
11	five	2.94E-05	phylogenetic	pantanal
12	five	2.91E-05	phylogenetic	pantanal
13	five	2.86E-05	phylogenetic	pantanal
14	five	3.21E-05	phylogenetic	pantanal
15	five	3.19E-05	phylogenetic	pantanal
16	five	3.32E-05	phylogenetic	pantanal
17	five	0.00064725	phylogenetic	pantanal
1	six	0.000793663	interaction	pantanal
2	six	0.0004355	interaction	pantanal
3	six	0.000396483	interaction	pantanal
4	six	0.000355266	interaction	pantanal
5	six	0.000333849	interaction	pantanal
6	six	0.000256033	interaction	pantanal
7	six	0.000237489	interaction	pantanal
8	six	0.000213843	interaction	pantanal
9	six	0.000151322	interaction	pantanal
10	six	0.000144023	interaction	pantanal
11	six	7.58E-05	interaction	pantanal
12	six	4.16E-05	interaction	pantanal
13	six	0.000733601	interaction	pantanal
14	six	0.000673369	interaction	pantanal
15	six	0.00049536	interaction	pantanal
16	six	0.006001457	interaction	pantanal
17	six	0.041321438	interaction	pantanal
1	six	8.28E-05	functional	pantanal
2	six	7.96E-05	functional	pantanal
3	six	6.93E-05	functional	pantanal
4	six	4.04E-05	functional	pantanal
5	six	2.93E-05	functional	pantanal
6	six	2.92E-05	functional	pantanal
7	six	1.97E-05	functional	pantanal
8	six	1.68E-05	functional	pantanal
9	six	1.57E-05	functional	pantanal
10	six	1.43E-05	functional	pantanal
11	six	1.13E-05	functional	pantanal
12	six	3.76E-06	functional	pantanal
13	six	1.50E-06	functional	pantanal
14	six	1.37E-06	functional	pantanal
15	six	1.28E-06	functional	pantanal
16	six	3.31E-05	functional	pantanal
17	six	0.001165127	functional	pantanal
1	six	1.22E-06	phylogenetic	pantanal
2	six	1.13E-06	phylogenetic	pantanal
3	six	1.12E-06	phylogenetic	pantanal
4	six	9.98E-07	phylogenetic	pantanal
5	six	9.78E-07	phylogenetic	pantanal
6	six	1.42E-06	phylogenetic	pantanal
7	six	1.10E-06	phylogenetic	pantanal
8	six	1.29E-06	phylogenetic	pantanal
9	six	1.32E-06	phylogenetic	pantanal
10	six	1.22E-06	phylogenetic	pantanal
11	six	1.27E-06	phylogenetic	pantanal
12	six	1.37E-06	phylogenetic	pantanal
13	six	1.28E-06	phylogenetic	pantanal
14	six	1.44E-06	phylogenetic	pantanal
15	six	1.60E-06	phylogenetic	pantanal
16	six	3.32E-05	phylogenetic	pantanal
17	six	0.00064725	phylogenetic	pantanal
1	three	0.189359389	interaction	cerrado
2	three	0.185420161	interaction	cerrado
3	three	0.174169591	interaction	cerrado
4	three	0.180158411	interaction	cerrado
5	three	0.175654916	interaction	cerrado
6	three	0.167845335	interaction	cerrado
7	three	0.141278716	interaction	cerrado
8	three	0.140599538	interaction	cerrado
9	three	0.127950451	interaction	cerrado
10	three	0.125585074	interaction	cerrado
11	three	0.092468077	interaction	cerrado
12	three	0.096765933	interaction	cerrado
13	three	0.057344257	interaction	cerrado
14	three	0.054226925	interaction	cerrado
15	three	0.047640608	interaction	cerrado
16	three	0.047640608	interaction	cerrado
17	three	NA	interaction	cerrado
1	three	0.042257982	functional	cerrado
2	three	0.042155053	functional	cerrado
3	three	0.041241767	functional	cerrado
4	three	0.056311188	functional	cerrado
5	three	0.055850299	functional	cerrado
6	three	0.055014147	functional	cerrado
7	three	0.054054211	functional	cerrado
8	three	0.053477851	functional	cerrado
9	three	0.054572584	functional	cerrado
10	three	0.051119088	functional	cerrado
11	three	0.051887018	functional	cerrado
12	three	0.050608529	functional	cerrado
13	three	0.047062082	functional	cerrado
14	three	0.039257094	functional	cerrado
15	three	0.03232972	functional	cerrado
16	three	0.03232972	functional	cerrado
17	three	NA	functional	cerrado
1	three	0.004906738	phylogenetic	cerrado
2	three	0.005755054	phylogenetic	cerrado
3	three	0.005654832	phylogenetic	cerrado
4	three	0.00478966	phylogenetic	cerrado
5	three	0.004309234	phylogenetic	cerrado
6	three	0.004598236	phylogenetic	cerrado
7	three	0.00564311	phylogenetic	cerrado
8	three	0.005920116	phylogenetic	cerrado
9	three	0.004874603	phylogenetic	cerrado
10	three	0.004636987	phylogenetic	cerrado
11	three	0.005531594	phylogenetic	cerrado
12	three	0.005556128	phylogenetic	cerrado
13	three	0.005833266	phylogenetic	cerrado
14	three	0.006536765	phylogenetic	cerrado
15	three	0.007695037	phylogenetic	cerrado
16	three	0.007695037	phylogenetic	cerrado
17	three	NA	phylogenetic	cerrado
1	four	0.049369168	interaction	cerrado
2	four	0.047616434	interaction	cerrado
3	four	0.042920705	interaction	cerrado
4	four	0.042765951	interaction	cerrado
5	four	0.039983542	interaction	cerrado
6	four	0.026594211	interaction	cerrado
7	four	0.023344587	interaction	cerrado
8	four	0.023098084	interaction	cerrado
9	four	0.020649296	interaction	cerrado
10	four	0.019770223	interaction	cerrado
11	four	0.014160963	interaction	cerrado
12	four	0.005698266	interaction	cerrado
13	four	0.000432903	interaction	cerrado
14	four	0.054226925	interaction	cerrado
15	four	0.047640608	interaction	cerrado
16	four	0.047640608	interaction	cerrado
17	four	NA	interaction	cerrado
1	four	0.005508104	functional	cerrado
2	four	0.005461897	functional	cerrado
3	four	0.005383567	functional	cerrado
4	four	0.008087295	functional	cerrado
5	four	0.007832007	functional	cerrado
6	four	0.007720022	functional	cerrado
7	four	0.007632427	functional	cerrado
8	four	0.007479292	functional	cerrado
9	four	0.007638155	functional	cerrado
10	four	0.006207636	functional	cerrado
11	four	0.006388716	functional	cerrado
12	four	0.005780133	functional	cerrado
13	four	0.003406641	functional	cerrado
14	four	0.002872249	functional	cerrado
15	four	0.002157593	functional	cerrado
16	four	0.002157593	functional	cerrado
17	four	NA	functional	cerrado
1	four	0.000395104	phylogenetic	cerrado
2	four	0.000352227	phylogenetic	cerrado
3	four	0.00036361	phylogenetic	cerrado
4	four	0.000389072	phylogenetic	cerrado
5	four	0.000381381	phylogenetic	cerrado
6	four	0.000397398	phylogenetic	cerrado
7	four	0.000401921	phylogenetic	cerrado
8	four	0.000421145	phylogenetic	cerrado
9	four	0.000306162	phylogenetic	cerrado
10	four	0.000353572	phylogenetic	cerrado
11	four	0.000421736	phylogenetic	cerrado
12	four	0.000426646	phylogenetic	cerrado
13	four	0.0005185	phylogenetic	cerrado
14	four	0.000581032	phylogenetic	cerrado
15	four	0.000472991	phylogenetic	cerrado
16	four	0.000472991	phylogenetic	cerrado
17	four	NA	phylogenetic	cerrado
1	five	0.00889889	interaction	cerrado
2	five	0.008000454	interaction	cerrado
3	five	0.005787046	interaction	cerrado
4	five	0.004475069	interaction	cerrado
5	five	0.004220796	interaction	cerrado
6	five	0.003189937	interaction	cerrado
7	five	0.002037608	interaction	cerrado
8	five	0.002016133	interaction	cerrado
9	five	0.001821951	interaction	cerrado
10	five	0.00174679	interaction	cerrado
11	five	0.000405149	interaction	cerrado
12	five	3.34E-05	interaction	cerrado
13	five	0.000432903	interaction	cerrado
14	five	0.054226925	interaction	cerrado
15	five	0.047640608	interaction	cerrado
16	five	0.047640608	interaction	cerrado
17	five	NA	interaction	cerrado
1	five	0.000497613	functional	cerrado
2	five	0.000491465	functional	cerrado
3	five	0.000482128	functional	cerrado
4	five	0.000698563	functional	cerrado
5	five	0.00066564	functional	cerrado
6	five	0.000655272	functional	cerrado
7	five	0.000519513	functional	cerrado
8	five	0.000466065	functional	cerrado
9	five	0.000393119	functional	cerrado
10	five	0.000294859	functional	cerrado
11	five	0.000299635	functional	cerrado
12	five	0.000264503	functional	cerrado
13	five	6.63E-05	functional	cerrado
14	five	3.98E-05	functional	cerrado
15	five	0.002157593	functional	cerrado
16	five	0.002157593	functional	cerrado
17	five	NA	functional	cerrado
1	five	2.77E-05	phylogenetic	cerrado
2	five	2.45E-05	phylogenetic	cerrado
3	five	2.52E-05	phylogenetic	cerrado
4	five	2.46E-05	phylogenetic	cerrado
5	five	2.17E-05	phylogenetic	cerrado
6	five	2.26E-05	phylogenetic	cerrado
7	five	2.09E-05	phylogenetic	cerrado
8	five	2.10E-05	phylogenetic	cerrado
9	five	1.80E-05	phylogenetic	cerrado
10	five	2.01E-05	phylogenetic	cerrado
11	five	2.40E-05	phylogenetic	cerrado
12	five	2.92E-05	phylogenetic	cerrado
13	five	3.01E-05	phylogenetic	cerrado
14	five	2.86E-05	phylogenetic	cerrado
15	five	0.000472991	phylogenetic	cerrado
16	five	0.000472991	phylogenetic	cerrado
17	five	NA	phylogenetic	cerrado
1	six	0.000876511	interaction	cerrado
2	six	0.00072033	interaction	cerrado
3	six	0.000504431	interaction	cerrado
4	six	0.000424387	interaction	cerrado
5	six	0.000395457	interaction	cerrado
6	six	0.000203274	interaction	cerrado
7	six	0.000128621	interaction	cerrado
8	six	0.000125122	interaction	cerrado
9	six	7.59E-05	interaction	cerrado
10	six	3.58E-05	interaction	cerrado
11	six	0.000405149	interaction	cerrado
12	six	3.34E-05	interaction	cerrado
13	six	0.000432903	interaction	cerrado
14	six	0.054226925	interaction	cerrado
15	six	0.047640608	interaction	cerrado
16	six	0.047640608	interaction	cerrado
17	six	NA	interaction	cerrado
1	six	2.53E-05	functional	cerrado
2	six	2.51E-05	functional	cerrado
3	six	2.49E-05	functional	cerrado
4	six	3.40E-05	functional	cerrado
5	six	3.13E-05	functional	cerrado
6	six	3.02E-05	functional	cerrado
7	six	2.31E-05	functional	cerrado
8	six	1.98E-05	functional	cerrado
9	six	1.15E-05	functional	cerrado
10	six	7.97E-06	functional	cerrado
11	six	8.04E-06	functional	cerrado
12	six	3.65E-06	functional	cerrado
13	six	1.88E-07	functional	cerrado
14	six	3.98E-05	functional	cerrado
15	six	0.002157593	functional	cerrado
16	six	0.002157593	functional	cerrado
17	six	NA	functional	cerrado
1	six	1.03E-06	phylogenetic	cerrado
2	six	1.04E-06	phylogenetic	cerrado
3	six	1.07E-06	phylogenetic	cerrado
4	six	1.04E-06	phylogenetic	cerrado
5	six	9.18E-07	phylogenetic	cerrado
6	six	9.50E-07	phylogenetic	cerrado
7	six	9.96E-07	phylogenetic	cerrado
8	six	1.03E-06	phylogenetic	cerrado
9	six	1.02E-06	phylogenetic	cerrado
10	six	1.14E-06	phylogenetic	cerrado
11	six	1.29E-06	phylogenetic	cerrado
12	six	1.41E-06	phylogenetic	cerrado
13	six	1.23E-06	phylogenetic	cerrado
14	six	2.86E-05	phylogenetic	cerrado
15	six	0.000472991	phylogenetic	cerrado
16	six	0.000472991	phylogenetic	cerrado
17	six	NA	phylogenetic	cerrado
1	three	0.199958134	interaction	atlantic_forest
2	three	0.197218901	interaction	atlantic_forest
3	three	0.198553259	interaction	atlantic_forest
4	three	0.19098397	interaction	atlantic_forest
5	three	0.190133404	interaction	atlantic_forest
6	three	0.162580406	interaction	atlantic_forest
7	three	0.162960894	interaction	atlantic_forest
8	three	0.110332722	interaction	atlantic_forest
9	three	0.087217079	interaction	atlantic_forest
10	three	0.081842546	interaction	atlantic_forest
11	three	0.081166293	interaction	atlantic_forest
12	three	0.072424405	interaction	atlantic_forest
13	three	0.054843425	interaction	atlantic_forest
14	three	0.054775577	interaction	atlantic_forest
15	three	0.054775577	interaction	atlantic_forest
16	three	NA	interaction	atlantic_forest
17	three	NA	interaction	atlantic_forest
1	three	0.048471021	functional	atlantic_forest
2	three	0.048442834	functional	atlantic_forest
3	three	0.062763504	functional	atlantic_forest
4	three	0.062296811	functional	atlantic_forest
5	three	0.062131016	functional	atlantic_forest
6	three	0.056284853	functional	atlantic_forest
7	three	0.056081953	functional	atlantic_forest
8	three	0.060383228	functional	atlantic_forest
9	three	0.050860222	functional	atlantic_forest
10	three	0.048975236	functional	atlantic_forest
11	three	0.034085336	functional	atlantic_forest
12	three	0.031527669	functional	atlantic_forest
13	three	0.024214363	functional	atlantic_forest
14	three	0.024270996	functional	atlantic_forest
15	three	0.024270996	functional	atlantic_forest
16	three	NA	functional	atlantic_forest
17	three	NA	functional	atlantic_forest
1	three	0.005122556	phylogenetic	atlantic_forest
2	three	0.005004408	phylogenetic	atlantic_forest
3	three	0.005146321	phylogenetic	atlantic_forest
4	three	0.005249787	phylogenetic	atlantic_forest
5	three	0.005651309	phylogenetic	atlantic_forest
6	three	0.006975956	phylogenetic	atlantic_forest
7	three	0.006838002	phylogenetic	atlantic_forest
8	three	0.007161272	phylogenetic	atlantic_forest
9	three	0.007276844	phylogenetic	atlantic_forest
10	three	0.007307799	phylogenetic	atlantic_forest
11	three	0.008069937	phylogenetic	atlantic_forest
12	three	0.00786916	phylogenetic	atlantic_forest
13	three	0.008049659	phylogenetic	atlantic_forest
14	three	0.008068144	phylogenetic	atlantic_forest
15	three	0.008068144	phylogenetic	atlantic_forest
16	three	NA	phylogenetic	atlantic_forest
17	three	NA	phylogenetic	atlantic_forest
1	four	0.057100273	interaction	atlantic_forest
2	four	0.05472306	interaction	atlantic_forest
3	four	0.054299147	interaction	atlantic_forest
4	four	0.052311016	interaction	atlantic_forest
5	four	0.049172522	interaction	atlantic_forest
6	four	0.044981202	interaction	atlantic_forest
7	four	0.025860748	interaction	atlantic_forest
8	four	0.015620938	interaction	atlantic_forest
9	four	0.009379781	interaction	atlantic_forest
10	four	0.005543701	interaction	atlantic_forest
11	four	0.004852677	interaction	atlantic_forest
12	four	0.003243879	interaction	atlantic_forest
13	four	0.054843425	interaction	atlantic_forest
14	four	0.054775577	interaction	atlantic_forest
15	four	0.054775577	interaction	atlantic_forest
16	four	NA	interaction	atlantic_forest
17	four	NA	interaction	atlantic_forest
1	four	0.008354174	functional	atlantic_forest
2	four	0.008321245	functional	atlantic_forest
3	four	0.009259551	functional	atlantic_forest
4	four	0.008830123	functional	atlantic_forest
5	four	0.008800111	functional	atlantic_forest
6	four	0.007746811	functional	atlantic_forest
7	four	0.007241928	functional	atlantic_forest
8	four	0.006617303	functional	atlantic_forest
9	four	0.004665728	functional	atlantic_forest
10	four	0.003811976	functional	atlantic_forest
11	four	0.002636663	functional	atlantic_forest
12	four	0.002458817	functional	atlantic_forest
13	four	0.000809639	functional	atlantic_forest
14	four	0.000802537	functional	atlantic_forest
15	four	0.000802537	functional	atlantic_forest
16	four	NA	functional	atlantic_forest
17	four	NA	functional	atlantic_forest
1	four	0.000425707	phylogenetic	atlantic_forest
2	four	0.000416529	phylogenetic	atlantic_forest
3	four	0.000400639	phylogenetic	atlantic_forest
4	four	0.00040989	phylogenetic	atlantic_forest
5	four	0.000449723	phylogenetic	atlantic_forest
6	four	0.000461908	phylogenetic	atlantic_forest
7	four	0.000414985	phylogenetic	atlantic_forest
8	four	0.000434421	phylogenetic	atlantic_forest
9	four	0.000485118	phylogenetic	atlantic_forest
10	four	0.000468126	phylogenetic	atlantic_forest
11	four	0.000517374	phylogenetic	atlantic_forest
12	four	0.000590635	phylogenetic	atlantic_forest
13	four	0.00059412	phylogenetic	atlantic_forest
14	four	0.000690441	phylogenetic	atlantic_forest
15	four	0.000690441	phylogenetic	atlantic_forest
16	four	NA	phylogenetic	atlantic_forest
17	four	NA	phylogenetic	atlantic_forest
1	five	0.009575036	interaction	atlantic_forest
2	five	0.007444425	interaction	atlantic_forest
3	five	0.007392389	interaction	atlantic_forest
4	five	0.006975094	interaction	atlantic_forest
5	five	0.006288034	interaction	atlantic_forest
6	five	0.005308373	interaction	atlantic_forest
7	five	0.00278613	interaction	atlantic_forest
8	five	0.001347878	interaction	atlantic_forest
9	five	0.000394853	interaction	atlantic_forest
10	five	0.005543701	interaction	atlantic_forest
11	five	0.004852677	interaction	atlantic_forest
12	five	0.003243879	interaction	atlantic_forest
13	five	0.054843425	interaction	atlantic_forest
14	five	0.054775577	interaction	atlantic_forest
15	five	0.054775577	interaction	atlantic_forest
16	five	NA	interaction	atlantic_forest
17	five	NA	interaction	atlantic_forest
1	five	0.000689321	functional	atlantic_forest
2	five	0.000686807	functional	atlantic_forest
3	five	0.000625391	functional	atlantic_forest
4	five	0.000565349	functional	atlantic_forest
5	five	0.000589146	functional	atlantic_forest
6	five	0.000501568	functional	atlantic_forest
7	five	0.000468171	functional	atlantic_forest
8	five	0.000426812	functional	atlantic_forest
9	five	0.000275498	functional	atlantic_forest
10	five	0.00019835	functional	atlantic_forest
11	five	0.000101285	functional	atlantic_forest
12	five	3.98E-05	functional	atlantic_forest
13	five	2.27E-06	functional	atlantic_forest
14	five	0.000802537	functional	atlantic_forest
15	five	0.000802537	functional	atlantic_forest
16	five	NA	functional	atlantic_forest
17	five	NA	functional	atlantic_forest
1	five	2.55E-05	phylogenetic	atlantic_forest
2	five	2.50E-05	phylogenetic	atlantic_forest
3	five	2.73E-05	phylogenetic	atlantic_forest
4	five	2.23E-05	phylogenetic	atlantic_forest
5	five	2.47E-05	phylogenetic	atlantic_forest
6	five	2.53E-05	phylogenetic	atlantic_forest
7	five	2.35E-05	phylogenetic	atlantic_forest
8	five	2.46E-05	phylogenetic	atlantic_forest
9	five	2.63E-05	phylogenetic	atlantic_forest
10	five	2.74E-05	phylogenetic	atlantic_forest
11	five	3.03E-05	phylogenetic	atlantic_forest
12	five	3.38E-05	phylogenetic	atlantic_forest
13	five	3.58E-05	phylogenetic	atlantic_forest
14	five	0.000690441	phylogenetic	atlantic_forest
15	five	0.000690441	phylogenetic	atlantic_forest
16	five	NA	phylogenetic	atlantic_forest
17	five	NA	phylogenetic	atlantic_forest
1	six	0.000696733	interaction	atlantic_forest
2	six	0.000538291	interaction	atlantic_forest
3	six	0.000519489	interaction	atlantic_forest
4	six	0.000483693	interaction	atlantic_forest
5	six	0.000411825	interaction	atlantic_forest
6	six	0.000365928	interaction	atlantic_forest
7	six	0.000185985	interaction	atlantic_forest
8	six	2.70E-05	interaction	atlantic_forest
9	six	0.000394853	interaction	atlantic_forest
10	six	0.005543701	interaction	atlantic_forest
11	six	0.004852677	interaction	atlantic_forest
12	six	0.003243879	interaction	atlantic_forest
13	six	0.054843425	interaction	atlantic_forest
14	six	0.054775577	interaction	atlantic_forest
15	six	0.054775577	interaction	atlantic_forest
16	six	NA	interaction	atlantic_forest
17	six	NA	interaction	atlantic_forest
1	six	4.01E-05	functional	atlantic_forest
2	six	3.99E-05	functional	atlantic_forest
3	six	3.50E-05	functional	atlantic_forest
4	six	3.14E-05	functional	atlantic_forest
5	six	3.11E-05	functional	atlantic_forest
6	six	2.55E-05	functional	atlantic_forest
7	six	2.38E-05	functional	atlantic_forest
8	six	2.01E-05	functional	atlantic_forest
9	six	9.17E-06	functional	atlantic_forest
10	six	3.41E-06	functional	atlantic_forest
11	six	1.36E-06	functional	atlantic_forest
12	six	8.99E-08	functional	atlantic_forest
13	six	2.27E-06	functional	atlantic_forest
14	six	0.000802537	functional	atlantic_forest
15	six	0.000802537	functional	atlantic_forest
16	six	NA	functional	atlantic_forest
17	six	NA	functional	atlantic_forest
1	six	1.19E-06	phylogenetic	atlantic_forest
2	six	1.18E-06	phylogenetic	atlantic_forest
3	six	1.15E-06	phylogenetic	atlantic_forest
4	six	1.07E-06	phylogenetic	atlantic_forest
5	six	1.30E-06	phylogenetic	atlantic_forest
6	six	1.31E-06	phylogenetic	atlantic_forest
7	six	1.17E-06	phylogenetic	atlantic_forest
8	six	1.23E-06	phylogenetic	atlantic_forest
9	six	1.31E-06	phylogenetic	atlantic_forest
10	six	1.38E-06	phylogenetic	atlantic_forest
11	six	1.52E-06	phylogenetic	atlantic_forest
12	six	1.70E-06	phylogenetic	atlantic_forest
13	six	3.58E-05	phylogenetic	atlantic_forest
14	six	0.000690441	phylogenetic	atlantic_forest
15	six	0.000690441	phylogenetic	atlantic_forest
16	six	NA	phylogenetic	atlantic_forest
17	six	NA	phylogenetic	atlantic_forest
1	three	0.203499016	interaction	chaco
2	three	0.198128369	interaction	chaco
3	three	0.191337657	interaction	chaco
4	three	0.191896506	interaction	chaco
5	three	0.19080091	interaction	chaco
6	three	0.179697426	interaction	chaco
7	three	0.178385279	interaction	chaco
8	three	0.176866764	interaction	chaco
9	three	0.175035184	interaction	chaco
10	three	0.175770791	interaction	chaco
11	three	0.152993536	interaction	chaco
12	three	0.092315044	interaction	chaco
13	three	0.070332683	interaction	chaco
14	three	0.070220325	interaction	chaco
15	three	0.034852933	interaction	chaco
16	three	0.034852933	interaction	chaco
17	three	NA	interaction	chaco
1	three	0.049318434	functional	chaco
2	three	0.047144222	functional	chaco
3	three	0.068991797	functional	chaco
4	three	0.065166225	functional	chaco
5	three	0.065014647	functional	chaco
6	three	0.06529577	functional	chaco
7	three	0.066403375	functional	chaco
8	three	0.061931684	functional	chaco
9	three	0.056927113	functional	chaco
10	three	0.054206796	functional	chaco
11	three	0.053246489	functional	chaco
12	three	0.047780098	functional	chaco
13	three	0.042165712	functional	chaco
14	three	0.042923557	functional	chaco
15	three	0.036538637	functional	chaco
16	three	0.036538637	functional	chaco
17	three	NA	functional	chaco
1	three	0.004736432	phylogenetic	chaco
2	three	0.00475426	phylogenetic	chaco
3	three	0.004905318	phylogenetic	chaco
4	three	0.005089572	phylogenetic	chaco
5	three	0.005880518	phylogenetic	chaco
6	three	0.006140847	phylogenetic	chaco
7	three	0.006106403	phylogenetic	chaco
8	three	0.00560432	phylogenetic	chaco
9	three	0.005723123	phylogenetic	chaco
10	three	0.00605128	phylogenetic	chaco
11	three	0.006254083	phylogenetic	chaco
12	three	0.00676995	phylogenetic	chaco
13	three	0.007130301	phylogenetic	chaco
14	three	0.007684052	phylogenetic	chaco
15	three	0.008674797	phylogenetic	chaco
16	three	0.008674797	phylogenetic	chaco
17	three	NA	phylogenetic	chaco
1	four	0.045146411	interaction	chaco
2	four	0.044095356	interaction	chaco
3	four	0.043039449	interaction	chaco
4	four	0.038951563	interaction	chaco
5	four	0.039773024	interaction	chaco
6	four	0.033542452	interaction	chaco
7	four	0.032764269	interaction	chaco
8	four	0.025883412	interaction	chaco
9	four	0.02563142	interaction	chaco
10	four	0.025722189	interaction	chaco
11	four	0.021312106	interaction	chaco
12	four	0.003843298	interaction	chaco
13	four	0.001982795	interaction	chaco
14	four	0.001986764	interaction	chaco
15	four	0.034852933	interaction	chaco
16	four	0.034852933	interaction	chaco
17	four	NA	interaction	chaco
1	four	0.007815559	functional	chaco
2	four	0.007489756	functional	chaco
